Code,Name,Tax ,IncludedInPrice,Quantity,Bulk Price,Individual Price,Units in Packet
2,COCA COLA 250 ML,19,TRUE,113,2500,0,0
3,COCA COLA ZERO 400 ML,19,FALSE,19,3000,0,0
7023,DIABOLIN X 240 GR X 6,19,TRUE,4,8900,1800,6
101001,CORAZON HJ DOMO X 60 UND X 700 GR,19,TRUE,1,15000,0,0
101002,CORAZON HJ CHOCO DOMO X 40 X 900 GR,19,FALSE,1,22500,1000,40
102010,GALLETA CONCHA BOLSA,19,TRUE,3650,6800,0,0
103010,GALLETA QUESUDITO X 6,19,TRUE,2,8300,0,0
105008,GALLETA CARITA FELIZ DOMO X 60 UNDS,19,TRUE,1,13700,0,0
4,CAJA BOMBOBOM LI/COCO,0,TRUE,1,5500,0,0
419018,GELATINNA X 13,19,FALSE,2,3800,0,0
5,MENTA GLETH,0,TRUE,9,6000,0,0
6,DULCE ECOfalseMICO,0,TRUE,24,4500,0,0
7,BOLSA MANI CUBIERTO,0,TRUE,18,5200,0,0
7790036008141,VIfalse TALACAS,19,TRUE,1,22000,0,0
8,MERENGUE,0,TRUE,1,5400,0,0
9,CIGARRILLO POTE,0,TRUE,3,5700,0,0
1001510,GTA FESTIVAL FRESA BS 12X6,0,TRUE,162,12000,1200,12
1001511,GTA FESTIVAL LIMON BS. 12X6,0,TRUE,125,12000,1200,12
1001512,GTA FESTIVAL VAINILLA BS. 12X6,0,TRUE,258,12000,1000,12
1001513,GTA FESTIVAL CHOCOLATE BS. 12X6,0,TRUE,173,12000,1000,12
1001561,GTA TOSH CHOCOLATE BS 6 X 2,19,FALSE,2,5400,0,6
1001563,GTA TOSH VAINILLA BS 6 X 2,19,TRUE,3,5400,0,6
1002712,GTA falseEL TIPO LECHE BS. X21,0,TRUE,9,8100,0,0
100300,CINTAS COLOMBIA PITUFO,0,TRUE,2,14800,0,0
1003833,GLINA. JEF LECHE 30 PLES X50UND X12G,0,TRUE,4,27700,600,50
1004071,GLINA JET LECHE 24UND X 24UND X6G,19,TRUE,4,7700,0,0
1004077,GLINA JET SABOR SURTIDO 24BOL X24UND X6G,19,TRUE,10,7700,0,0
1005857,GTA DUCALES TENTACION BS. 8X4,0,TRUE,10,5500,0,0
1009631,GTA TOSH YOGURT FRESA BS X 6,19,TRUE,11,5500,0,0
101374,TOSTACOS RAMO X 12,19,TRUE,2,17500,1700,12
101397,CHICLE PELOTA DE TENIS INDIVIDUAL,0,TRUE,5,24000,0,0
101398,CHICLE FINI BURGER,0,TRUE,3,24000,0,0
1015472,GLINA JUMBO MANI 12PLGX X24UND X18g,0,TRUE,1,18200,800,24
1019466,GLINA JUMBO FLOW BLANCA 122PLEX X12UND X48g,0,TRUE,1,19600,1600,12
1020019,GLINA. GOL 12PLE X24UND X31g,0,TRUE,87,23000,1000,24
102012,GALLETA CONCHA BOMBONERA X 50 UND 5.00 G,0,TRUE,2,12500,300,50
102041,MOSCATEL,19,TRUE,39,18000,0,0
102314,CINTA PITUFO FRESA,0,TRUE,5,14800,0,0
102315,CINTA PITUFO MANZANA VERDE,0,TRUE,6,14800,0,0
1025338,GLINA. JET GOOL BALONES 12BOL X100UND X4.5g,0,TRUE,1,17800,0,0
1025339,GLINA JET BURBUJAS 24BOL X12UND X14G,19,TRUE,6,7700,0,0
1028144,LA_ESPECIAL_MIX_NUECES X 180 GR,19,TRUE,4,8500,0,0
1029,TOCIMIEL X 10 X 20 GR,19,TRUE,90,7500,0,0
103-1,TOZINETAS FREG 25G,0,TRUE,34,1300,0,0
1034053,GLINA.JUMBO MANI EXH 60BJASX2UNF X100g,0,TRUE,4,9600,4800,2
1035294,PASAB. LA ESPECIAL MANICERO 6PLE X24UND X25g,0,TRUE,186,24000,0,0
1035439,GTA TOSH WAFER COCO,19,TRUE,1,7000,0,0
1035440,GTA TOSH WAFER,19,TRUE,3,0,0,0
1036,COBERTURA BLANCA 500 GRS,0,TRUE,3,16300,0,0
1036367,LA ESPECIAL LIMON Y PIMIENTA,19,TRUE,6,6000,0,0
1037211,GLINA MONTABLANC ALMENDRA 24EST X3UND X13G,19,TRUE,4,5500,1800,3
1038111,GLINA. JUMBO FLOW LECHE 18PLEG X10U X18G T20,0,TRUE,2,6800,0,0
1038112,GLINA. JUMBO FLOW BLANCA 18PLG X10UND X18g,0,TRUE,2,6800,700,10
1038784,GTA FESTIVAL RECREO BS. 12X6 68g,0,TRUE,41,12000,2000,6
104003,GALLETA DEDO RIZADO DOMO X 60UND X 450C,0,TRUE,1,13000,2500,5
10407761,LA ESPECIAL LIMON Y PIMIENTA,19,TRUE,2,21200,1800,10
104293,MOSCATEL DUCARLES,19,TRUE,1,19327,0,0
1043432,PASAB. LA ESPECIAL KRAKS 8PLES X24UND X25g,0,TRUE,51,1000,0,0
104375,DENTADURA 2 X 80 GR,0,TRUE,47,2200,0,0
104376,BESOS DE FRESA 12 X 80 GR,0,TRUE,36,2200,0,0
104377,BANANITO 12 X 80 GR,0,TRUE,40,2200,0,0
1044449,la espedial mezaran x 40 gr,19,TRUE,49,,0,0
1046484,LA ESPECIAL SAL X 180 GR,19,TRUE,6,4800,0,0
1046485,LA ESPECIAL PASAS X 180 GR,0,FALSE,3,6000,0,0
1046879,LA ESPECIAL MEZCLA X 40 GR,19,FALSE,45,2500,0,0
1047804,GLIMA. GOL MINI 12 PLEG X24UND X14g,0,TRUE,3,11800,500,24
1049449,GTA FESTIVAL MINICHIPS CHOC BS. X12,0,TRUE,7,13800,1200,12
1050313,GLINA MONTBLANC MINI,19,TRUE,5,13500,700,20
1050314,GLINA MONTBLANC ESTUCHE,19,TRUE,4,13800,2000,8
1051202,gta festival minichips x 16,19,FALSE,1,18500,0,0
1053,BOMBOM RELLEfalse MICHOC 112G,0,TRUE,8,4900,0,0
1055641,GTA DUX BS 9X3,0,TRUE,14,5000,0,0
1055665,GTA DUCALES BS. 9X3 NUEVA,0,TRUE,30,5400,0,0
1055671,GTA SALTIN ROJO BS. 9X4 216G,0,TRUE,25,5400,0,0
1057986,LA ESPECIAL SAL X 40 GR,19,TRUE,25,1700,0,0
1058025,PASAB. LA ESPECIAL PASAS 40G PLEG X24,0,TRUE,5,2000,0,0
1058048,GOLDEN LATTE NATURELA POLVO,19,FALSE,3,,0,0
1058050,ROSQUILLAS CHIA LINAZA X 210 GR,19,TRUE,6,15000,0,0
1058052,ROSQUILLAS CHIA LINAZA NATURELA,19,TRUE,3,30700,2600,12
1058054,SPIRUTE SURTIDO NATURELA PLEFADIZA,19,FALSE,3,,0,0
105847,FINI ROLL SANDIA X 20 GR,0,TRUE,2,15000,0,0
1059669,GTA TOSH MIEL FIT BS 9X3 243G,0,TRUE,51,6900,0,0
106001,GALLETA COCADA DOMO X 60 UND X 380 G,0,TRUE,1,13100,300,60
106-1,LONCHERA DIVERTIDA X13,0,TRUE,11,11000,0,0
1062113,GTA TOSH FUINtrueON DE CEREAL FIT BS. 9X3,0,TRUE,8,6900,0,0
106536,FINI ROLL FRESA X 20 GR,0,TRUE,1,15000,0,0
1067,EST CORA DELUXEMICHOC 1456G,0,TRUE,8,17600,0,0
1070,CHUPETA DE CHOCOLATE 70 GRS,0,TRUE,8,4400,0,0
107002,ROSQUITAS_LAS_CASERITAS X 16 G X 12 UND,0,TRUE,223,11500,1200,12
107533,VIfalse BLANCO DO�A PAULA 750 ML,0,TRUE,2,41000,0,0
107806,FROZ,19,TRUE,136,2000,0,0
108003,TORTA VIfalse X 330 GR,19,TRUE,1,9000,0,0
109-1,ROSkotas y besotes x6 28gr,0,TRUE,2,13900,0,0
11,LENGUA,0,TRUE,1,2400,0,0
1101,G CLUB SOCIAL X9 MANTEQUILLA,0,TRUE,3,5300,600,9
1102,ELVAN CHOCOFIGURAS,19,FALSE,4,35000,400,100
110256,BUCHANANS DELUXE 750 ML,0,TRUE,19,153000,0,0
1105,ALMENDRA  FRANCESA CUB CHOC 150G,0,TRUE,3,8600,0,0
1106,CARAMELO FREtrueTAS 320 G,0,TRUE,12,5900,0,0
111161,BAILEYS X 100 ML,19,TRUE,3,12100,0,0
1112,ALMENDRA FRANCESA CUB CHOCO 50 GR,0,TRUE,10,3200,0,0
